,fold,precision,recall,f1-score,support,total
0,1,0.970954356846473,0.6109660574412533,0.75,383.0,1445.0
1,2,0.9884169884169884,0.6684073107049608,0.7975077881619937,383.0,1445.0
2,3,0.9811320754716981,0.680628272251309,0.80370942812983,382.0,1445.0
3,4,0.9563636363636364,0.6884816753926701,0.8006088280060881,382.0,1444.0
4,5,0.9669421487603306,0.612565445026178,0.75,382.0,1444.0
