,fold,precision,recall,f1-score,support,total
0,1,0.9896907216494846,0.6620689655172414,0.793388429752066,145.0,528.0
1,2,0.9787234042553191,0.6344827586206897,0.7698744769874478,145.0,528.0
2,3,0.98,0.6758620689655173,0.8,145.0,528.0
3,4,0.9764705882352941,0.5724137931034483,0.7217391304347825,145.0,528.0
4,5,0.9578947368421052,0.6319444444444444,0.7615062761506275,144.0,528.0
