,precision,recall,f1-score,support
different,0.8881697717980488,0.9934095487135334,0.9378167572442709,1062.2
same,0.9727618411718252,0.6522097521632743,0.7803652088595824,382.4
macro avg,0.930465806484937,0.8228096504384037,0.8590909830519265,1444.6
weighted avg,0.9105642733779387,0.903086677721439,0.8961360100809213,1444.6
