,fold,precision,recall,f1-score,support,total
0,1,1.0,0.7133333333333334,0.8326848249027238,150.0,531.0
1,2,0.9716981132075472,0.6866666666666666,0.8046875,150.0,531.0
2,3,0.9747899159663865,0.7733333333333333,0.8624535315985129,150.0,531.0
3,4,0.9782608695652174,0.6,0.743801652892562,150.0,530.0
4,5,0.9719626168224299,0.6933333333333334,0.8093385214007781,150.0,530.0
