,precision,recall,f1-score,support
different,0.8434267666405539,0.9802282918152618,0.9066782838812987,1062.2
same,0.8993573384981541,0.4942586086695009,0.6375257139105736,382.4
macro avg,0.871392052569354,0.7372434502423815,0.7721019988959361,1444.6
weighted avg,0.8582310714873301,0.8515833564972347,0.8354276008842488,1444.6
