,precision,recall,f1-score,support
different,0.9249111002531482,1.0,0.960928828291561,380.6
same,1.0,0.7933333333333333,0.8840981450119305,150.0
macro avg,0.9624555501265741,0.8966666666666667,0.9225134866517457,530.6
weighted avg,0.9461411024592394,0.9415684184344242,0.939205811414278,530.6
