,precision,recall,f1-score,support
different,0.9162674426861915,0.9953020134228188,0.9541001673657632,298.4
same,0.9781512605042018,0.6894461859979101,0.8076398855431114,87.6
macro avg,0.9472093515951965,0.8423740997103645,0.8808700264544373,386.0
weighted avg,0.9302869734787252,0.9259067357512952,0.9208628863500836,386.0
