,fold,precision,recall,f1-score,support,total
0,1,0.852112676056338,0.40604026845637586,0.55,298.0,1176.0
1,2,0.8855421686746988,0.49328859060402686,0.6336206896551724,298.0,1176.0
2,3,0.8675496688741722,0.4395973154362416,0.5835189309576837,298.0,1175.0
3,4,0.8571428571428571,0.46464646464646464,0.6026200873362445,297.0,1175.0
4,5,0.8627450980392157,0.4444444444444444,0.5866666666666667,297.0,1175.0
