,fold,precision,recall,f1-score,support,total
0,1,0.9074074074074074,0.5568181818181818,0.6901408450704225,88.0,386.0
1,2,0.94,0.5340909090909091,0.681159420289855,88.0,386.0
2,3,0.9655172413793104,0.3181818181818182,0.4786324786324786,88.0,386.0
3,4,0.9555555555555556,0.4942528735632184,0.6515151515151515,87.0,386.0
4,5,0.96,0.5517241379310345,0.7007299270072993,87.0,386.0
