,fold,precision,recall,f1-score,support,total
0,1,0.9913793103448276,0.7931034482758621,0.8812260536398467,145.0,528.0
1,2,1.0,0.7793103448275862,0.875968992248062,145.0,528.0
2,3,0.9829059829059829,0.7931034482758621,0.8778625954198473,145.0,528.0
3,4,0.9714285714285714,0.7034482758620689,0.8160000000000001,145.0,528.0
4,5,0.9915254237288136,0.8125,0.8931297709923663,144.0,528.0
