,precision,recall,f1-score,support
different,0.8913579769380447,0.9943034210123038,0.9400139599374355,877.8
same,0.9746783141699524,0.6424875149707365,0.7743349140141769,297.6
macro avg,0.9330181455539985,0.8183954679915202,0.8571744369758063,1175.4
weighted avg,0.9124541897650464,0.9052243450571718,0.8980639377040127,1175.4
