,precision,recall,f1-score,support
different,0.8395952706862205,0.9763046002238944,0.9027885244845943,877.8
same,0.8650184937574563,0.44960341671751075,0.5912852749231534,297.6
macro avg,0.8523068822218385,0.7129540084707024,0.7470368997038739,1175.4
weighted avg,0.8460340244210725,0.8429468808800117,0.8239178173481386,1175.4
