,precision,recall,f1-score,support
different,0.9284645038706367,0.9889129181084199,0.9577263603106505,288.6
same,0.9638748807414474,0.7947732779508481,0.8710940710771974,107.2
macro avg,0.9461696923060421,0.8918430980296339,0.9144102156939239,395.8
weighted avg,0.9380596864588673,0.9363342283595447,0.9342661473781547,395.8
