,precision,recall,f1-score,support
different,0.9352161630713904,1.0,0.9665188566299371,288.6
same,1.0,0.8134129456559362,0.897046431560916,107.2
macro avg,0.9676080815356952,0.9067064728279682,0.9317826440954265,395.8
weighted avg,0.9527601915979946,0.9494719345352257,0.9477062657395099,395.8
