,precision,recall,f1-score,support
different,0.8757090270462516,0.9879374200354649,0.9283320739986951,298.4
same,0.9248264512478842,0.5206896551724138,0.6627014777405582,87.6
macro avg,0.900267739147068,0.7543135376039395,0.7955167758696268,386.0
weighted avg,0.8868644618118774,0.8818652849740932,0.8680252369133541,386.0
