,precision,recall,f1-score,support
different,0.9313802270737307,0.9965612039341154,0.9628315920394165,290.8
same,0.9878368600452229,0.7918713116314487,0.8785674985864966,102.8
macro avg,0.9596085435594766,0.8942162577827821,0.9206995453129565,393.6
weighted avg,0.9461318790371228,0.9430929592746156,0.9408219178167723,393.6
