,precision,recall,f1-score,support
different,0.8734810080545985,0.9814314492238416,0.924275617267552,290.8
same,0.918583318547421,0.5971254521225966,0.7229662316099209,102.8
macro avg,0.8960321633010098,0.7892784506732191,0.8236209244387366,393.6
weighted avg,0.8852552872090769,0.8810929851073996,0.8717197488593447,393.6
